Title,Audio File Name,Thumbnail File Name,Slug/Link,Description Present,Canonical Match,Notes
CRISPR Chemistry: Molecular Editing,ever-bio-250006.mp3,ever-bio-250006-thumb.jpg,ever-bio-250006,Yes,Yes,
CRISPR Epigenome: Beyond DNA,ever-bio-250007.mp3,ever-bio-250007-thumb.jpg,ever-bio-250007,Yes,Yes,
Minimal Cells: Life's Essentials,ever-bio-250014.mp3,ever-bio-250014-thumb.jpg,ever-bio-250014,Yes,Yes,
Neural Optogenetics: Light-Controlled Brains,ever-bio-250016.mp3,ever-bio-250016-thumb.jpg,ever-bio-250016,Yes,Yes,
Organoids: Miniature Organs,ever-bio-250018.mp3,ever-bio-250018-thumb.jpg,ever-bio-250018,Yes,Yes,
Spatial Biology: Cell Mapping,ever-bio-250020.mp3,ever-bio-250020-thumb.jpg,ever-bio-250020,Yes,Yes,
Synthetic Biology: Redesigning Life,ever-bio-250028.mp3,ever-bio-250028-thumb.jpg,ever-bio-250028,Yes,Yes,
Mathematical Logic 2024,ever-math-250009.mp3,ever-math-250009-thumb.jpg,ever-math-250009,Yes,Alias,Duplicate/alias of "Math Logic Recent Breakthroughs"
Math Logic Recent Breakthroughs,ever-math-250009.mp3,ever-math-250009-thumb.jpg,ever-math-250009,Yes,Alias,Duplicate/alias of "Mathematical Logic 2024"
Continuum Hypothesis: Set Theory's Mystery,ever-math-250021.mp3,ever-math-250021-thumb.jpg,ever-math-250021,Yes,No,Audio swapped with "String Theory"
String Theory: Theory of Everything,ever-math-250023.mp3,ever-math-250023-thumb.jpg,ever-math-250023,Yes,No,Audio swapped with "Continuum Hypothesis"
Computational Chemistry: Molecular Modeling,ever-chem-250010.mp3,ever-chem-250010-thumb.jpg,ever-chem-250010,Yes,No,Audio swapped with "Green Chemistry"
Green Chemistry: Sustainable Synthesis,ever-chem-250005.mp3,ever-chem-250005-thumb.jpg,ever-chem-250005,Yes,No,Audio swapped with "Computational Chemistry"
Edge Computing: Intelligence at the Frontier,ever-compsci-250017.mp3,ever-compsci-250017-thumb.jpg,ever-compsci-250017,Yes,No,Duplicate audio with "Neuromorphic Computing"
Neuromorphic Computing: Brain-Inspired Systems,ever-compsci-250017.mp3,ever-compsci-250017-thumb.jpg,ever-compsci-250017,Yes,No,Duplicate audio with "Edge Computing"
